ID,PersonNumber,PersonIdCode,LastName,FirstName,GenderAsString
645,645,1094,Kopp,Elisabeth,f
646,646,1095,Schmid,Hans,m
647,647,1096,Vetsch,Burkhard,m
648,648,1097,Affolter,Alfred,m
649,649,1098,Akeret,Erwin,m
650,650,1099,Alder,Claudius,m
651,651,1100,Augsburger,Walter,m
652,652,1101,Bacciarini,Alma,f
653,653,1102,Baechtold,Gilbert,m
654,654,1103,Barchi,Pier Felice,m
655,655,1104,Barras,Louis,m
656,656,1105,Biderbost,Paul,m
657,657,1106,de Capitani,Silvio,m
658,658,1107,Crevoisier,Jean-Claude,m
659,659,1108,Delamuraz,Jean-Pascal,m
660,660,1109,Duboule,Gilbert,m
661,661,1110,Dürr,Andreas,m
662,662,1111,Fischer,Hanspeter,m
663,663,1112,Fischer,Otto,m
664,664,1113,Forel,Armand-Auguste,m
665,665,1114,Füeg,Cornelia,f
666,666,1115,Ganz,Fritz,m
667,667,1116,Gerwig,Andreas,m
668,668,1117,Girard,Gertrude,f
669,669,1118,Huggenberger,Ernst,m
670,670,1119,Jost,Christian,m
671,671,1120,Junod,Raymond,m
672,672,1121,Kaufmann,Remigius,m
673,673,1122,Kloter,Theodor,m
674,674,1123,Kunz,Urs,m
675,675,1124,Lang-Gehri,Hedi,f
676,676,1125,Linder,David,m
677,677,1126,Loetscher,Francis,m
678,678,1127,Meier,Kaspar,m
679,679,1128,Meier,Werner,m
680,680,1129,Merz,Christian,m
681,681,1130,Messmer,Willy,m
682,682,1131,Morel,Félicien,m
683,683,1132,Müller,Alfons,m
684,684,1133,Müller,Daniel,m
685,685,1134,Müller,Richard,m
686,686,1135,Pedrazzini,Giovan Battista,m
687,687,1136,Räz-Rutsch,Fritz,m
688,688,1137,Reiniger,Kurt,m
689,689,1138,Ribi,Martha,f
690,690,1139,Roth,Hans,m
691,691,1140,Rothen,Eduard,m
692,692,1141,Roy,Gabriel,m
693,693,1142,Rüegg,Hans,m
694,694,1143,Schalcher,Heinrich,m
695,695,1144,Scherer,Anton,m
696,696,1145,Spiess,Gertrud,f
697,697,1146,Spreng,Liselotte,f
698,698,1147,Stich,Otto,m
699,699,1148,Teuscher,Pierre,m
700,700,1149,Tochon,Robert,m
701,701,1150,Wilhelm,Jean,m
702,702,1151,Baumberger,Hans Ulrich,m
703,703,1152,Donzé,Willy,m
704,704,1153,Gassmann,Pierre,m
705,705,1154,Generali,Luigi,m
706,706,1155,Guntern,Odilo,m
707,707,1156,Lieberherr,Emilie,f
708,708,1157,Muheim,Anton,m
709,709,1160,Ulrich,Josef,m
710,710,1158,Munz,Hans,m
711,711,1159,Stefani,Alberto,m
714,714,2001,Aliesch,Peter,m
715,715,2003,Ammann,Walter,m
716,716,2006,Auer,Felix,m
717,717,2007,Baggi,Giovanni,m
718,718,2009,Basler,Konrad,m
719,719,2010,Bäumlin,Richard,m
721,721,2014,Biel,Walter,m
722,722,2020,Bonvin,Hubert,m
723,723,2022,Braunschweig,Hansjörg,m
724,724,2023,Brélaz,Daniel,m
725,725,2024,Bremi-Forrer,Ulrich,m
726,726,2028,Burckhardt,Martin,m
727,727,2034,Cevey,Jean-Jacques,m
728,728,2043,Déglise,Elisabeth,f
729,729,2045,Dietrich,Franz,m
730,730,2050,Eggenberg,Ernst,m
731,731,2052,Eisenring,Paul,m
732,732,2054,Eppenberger,Susi,f
733,733,2056,Euler,Alexander,m
734,734,2057,Fäh,Paul,m
735,735,2059,Fehr,Hermann,m
736,736,2060,Feigenwinter,Hans-Rudolf,m
737,737,2062,Fierz,Lukas,m
738,738,2071,Graf,Hans-Ulrich,m
739,739,2072,Grassi,Mario,m
740,740,2081,Hänggi,Peter,m
741,741,2087,Hösli,Fritz,m
742,742,2088,Houmard,Marc-André,m
743,743,2090,Humbel,Beda,m
744,744,2093,Jeanneret,François,m
745,745,2095,Jung,Franz,m
746,746,2097,Kohler,Raoul,m
747,747,2099,Lanz,Fritz,m
748,748,2105,Longet,René,m
749,749,2111,Martin,Paul-René,m
750,750,2112,Massy,Claude,m
751,751,2118,Meizoz,Bernard,m
752,752,2119,Morf,Doris,f
753,753,2122,Müller,Kurt,m
754,754,2127,Neukomm,Alfred,m
755,755,2128,Nussbaumer,Urs,m
756,756,2131,Oester,Hans,m
757,757,2133,Ott,Heinrich,m
758,758,2134,Paccolat,Monique,m
759,759,2183,Pitteloud,Françoise,f
760,760,2141,Portmann,Théo Christian,m
761,761,2144,Reich,Richard,m
762,762,2145,Reichling,Rudolf jun.,m
763,763,2146,Reimann,Fritz,m
764,764,2153,Rüttimann,Albert,m
765,765,2155,Sager,Peter,m
766,766,2157,Savary,Jean,m
767,767,2167,Segond,Guy-Olivier,m
768,768,2170,Spälti,Peter,m
769,769,2174,Stappung,Sepp,m
770,770,2177,Stocker-Meier,Monika,f
771,771,2182,Uchtenhagen,Lilian,f
773,773,2185,Weber,Karl,m
774,774,2187,Wellauer,Hermann,m
775,775,2188,Widmer,Sigmund,m
776,776,2194,Zbinden,Paul,m
777,777,2201,Affolter,Max,m
778,778,2203,Bührer,Esther,f
779,779,2209,Dobler,Alois,m
780,780,2213,Gautier,André,m
781,781,2214,Hänsenberger,Arthur,m
782,782,2215,Hefti,Peter,m
783,783,2217,Hunziker,Bruno,m
784,784,2219,Jaggi,Yvette,f
785,785,2221,Jelmini,Camillo,m
786,786,2224,Lauber,Daniel,m
787,787,2225,Masoni,Franco,m
788,788,2226,Meier,Hans,m
789,789,2228,Miville,Carl jun.,m
